population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,1990,204.89666493285,233.61355524095,174.98276042069
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,1991,205.13605987135998,233.22721004177,176.03562712482
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,1992,204.83420494951002,232.18559452923,176.50735990397
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,1993,204.11009777397,230.73708983622998,176.71597452865998
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,1994,203.18290495642998,229.11668369912002,176.73517878299998
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,1995,202.14193562219998,227.42612050546,176.55337435974
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,1996,199.71558541872002,224.50018787497999,174.43752911507
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,1997,195.24163552936,219.38020059001002,170.79120930055
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,1998,189.68416502386,213.13836996937,166.32445719748
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,1999,183.94819021286,206.6982037001,161.56506471359998
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2001,174.61754361817,196.35921159522002,153.56779723991002
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2000,179.13919623225,201.44301275414,157.57038452566002
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2003,164.10045297780002,184.37166055968999,144.15091610023
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2002,169.39412369162,190.39662872979,148.87805445625
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2004,159.31937717981998,178.96378231146002,139.8890947507
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2005,155.62568914892998,174.86327188719,136.56581222881002
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2007,149.77204869781,168.20147233829,131.17456580292998
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2006,152.73459913439,171.56593125853,133.88737480859
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2008,146.82432881615,164.80833467241,128.46560495720001
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2009,144.01178549033,161.671359039,125.88865456040999
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2010,141.44007420378,158.95580507709002,123.51234462431
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2011,138.61742994486,155.82061885047,121.16569003726
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2012,135.21278477158998,152.01710577755,118.19118410197
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2013,131.63712564903,148.01363256654,115.09929899186
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2015,125.18494723474001,140.74173074862,109.57071167202
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2014,128.1981824547,144.12889150538,112.15103098806999
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2016,122.41717821541,137.23654655978,107.19367731802001
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2017,119.48532139527,133.67209201781,105.03397790976999
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2018,116.58388173892999,130.53625924667,102.79668382844
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2019,113.96062512244,127.74482557059001,100.67884969546
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2020,111.72535931517,125.15944978456,98.77963202951001
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2021,109.06883464446,122.43649899413,96.40470284112
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2022,106.27882983236,119.85880623865,93.73064761127
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,297,Tuberculosis,3,Rate,2023,103.25062628526,116.49884984974001,91.18335368305999
