population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,1990,161.91453682309,291.34634480942,107.13799237806
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,1991,166.86267456738,283.28374601266,114.8394418662
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,1992,165.89847723621,288.48728574017,111.07059058802001
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,1993,167.13413070022,275.60095871196,108.76682186553
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,1994,166.78738919442,267.6395078166,114.47509287975
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,1997,162.87512066757,243.31367421926998,110.84970055559
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,1998,203.31762003557998,288.93402071772,141.5795509628
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,1996,171.86322607459,251.06088121399998,117.50592820293001
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,1995,167.27354753289998,247.58487834061998,114.88550093854
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,1999,155.74139588977002,245.88562098902,106.67227890571
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2000,146.2082005004,258.36938474955,99.0136115686
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2002,133.81278493539,293.14360101187003,85.02455765487
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2003,195.24694291449,284.76860175209,132.19490003287
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2001,138.81691208671,275.49230315196,93.68607468812
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2004,282.37974954129,399.72682999929003,198.51064300554998
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2007,508.21433938806996,690.15262490991,358.36703326018
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2005,334.40245564466,467.92841718777004,234.13178413417998
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2006,355.69835858792,479.88272540097,245.12822694443003
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2008,487.15731930539994,696.1118467507,344.50470489823
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2010,447.84818623723,631.80492039446,316.99914421972
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2009,465.03308993695003,650.17748771462,315.28394843524
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2011,154.51044698593,223.97186868602998,105.36872895136
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2014,235.02158488166,325.77186733528,160.20173230442
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2015,233.79863797470998,331.55080713846,157.28067842425
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2012,206.47488733116998,282.05425942779,142.90528803146
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2013,216.86457653224,297.51366466963,146.15985876438
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2017,253.61246645378,349.31649235843,181.61317824502
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2018,211.45561301305003,297.87439731353,146.92609887267
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2019,307.7387925807,424.54316958647,208.38573928373998
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2016,501.29337160431,676.44752372476,343.61022998059
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2020,181.1203695255,259.77529153092,125.08582619744
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2021,174.28777250039,253.18612470245998,122.53065546927
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2022,165.36278477429,245.57977227776,110.74982316783
1,All Population,6,Incidence,11,Indonesia,3,Both,22,All ages,357,Dengue,3,Rate,2023,162.03982772224,251.97101753341002,110.91109443831002
